data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-11-05,chat,Fluxo de caixa,Cliente solicitou projeção de gastos para o próximo mês,sim
2025-11-18,email,Extrato mensal,Cliente pediu envio do extrato consolidado de novembro,sim
2025-12-02,chat,Reserva de emergência,Cliente perguntou quanto falta para atingir a meta,sim
2025-12-10,telefone,Cartão de crédito,Dúvida sobre lançamento duplicado foi esclarecida,sim
2025-12-18,chat,Planejamento anual,Cliente solicitou simulação financeira para 2026,sim
2026-01-05,email,Imposto de Renda,Dúvida inicial sobre informes de rendimentos,sim
2026-01-12,chat,Metas financeiras,Cliente revisou metas e prazos para 2026,sim
